(7684)1109 135709.0#WAR(npAdpPrn.c@139):	[npAdpPrn.dll] build:6_1_17B191 $RCSfile: npAdpPrn.c,v $$Revision: 1.44.2.4 $ Jun 17 2011 09:16:31
(7684)1109 135709.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npNetPrn_Initialize] error = 127: The specified procedure could not be found.
(7684)1109 135709.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_Query] error = 127: The specified procedure could not be found.
(7684)1109 135709.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_SetPrinter] error = 127: The specified procedure could not be found.
(7684)1109 135709.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxInitialize] error = 127: The specified procedure could not be found.
(7684)1109 135709.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxFinalize] error = 127: The specified procedure could not be found.
(7684)1109 135709.0#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(7684)1109 135709.0#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(7684)1109 135709.8#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [020] to [STO0020] has taken 797 ms - UNKNOWN SERVICE - command = 17020, 1st param = []
(7684)1109 135709.8#WAR(npBusCompMain.c@1057):	Error retrieving STO SW Version: status=0xa2300. Using default: 6_1_17B191
(7684)1109 135719.1#WAR(npBusCompMain.c@1922):	[lCheckTLOGWithWayStation] Error contacting WAY Station: status=0x144c00
(7684)1109 135724.5#WAR(npBusCompMain.c@1903):	[BC],[PosSizeSelection],[1641]
(7684)1109 135724.5#WAR(npBusCompMain.c@1328):	[WF],[],[1],[8],[1641],[WF_MultiOrder],[]
(7912)1109 135725.1#WAR(npreControlProcess.c@81):	[CP_MainThread] Timeout waiting publisher adaptor activation.
(7912)1109 135725.1#WAR(npreControlProcess.c@85):	[CP_MainThread] Start thread
(7684)1109 135730.1#WAR(npBusCompMain.c@1903):	[BC],[PosGetAuthorization],[4391]
(7684)1109 135730.1#WAR(npBusCompMain.c@1328):	[WF],[],[1],[10],[4391],[WF_ShowManagerMenu],[Level=manager|ScreenNumber=900|SingleSignOn=false]
(7432)1109 135734.5#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(7684)1109 135735.6#WAR(npBusCompMain.c@1903):	[BC],[PosShowScreenWithPassword],[2843]
(7684)1109 135735.6#WAR(npBusCompMain.c@1328):	[WF],[],[903],[11],[2843],[WF_ShowScreenWithPassword],[ScreenNumber=904]
(6284)1109 135747.2#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(7684)1109 135748.3#WAR(npBusCompMain.c@1903):	[BC],[PosDayOpen],[10937]
(7684)1109 135749.8#WAR(npBusCompMain.c@1903):	[BC],[PosShutdown],[1500]
(7684)1109 135749.8#WAR(npBusCompMain.c@1328):	[WF],[],[904],[12],[12500],[WF_DayOpen],[]
(7684)1109 135807.0#WAR(npBusCompMain.c@1903):	[BC],[PosItemSelection],[3062]
(7684)1109 135808.9#WAR(npBusCompAux.c@544):	[HK],[onLoginOperator],[4969]
