(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Script error!
{0}] by [Script error!
{0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [File to parse too small or in invalid ] by [File to parse too small or in invalid ] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error retrieving an attribute in a xml file] by [Error retrieving an attribute in a xml file] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error retrieving a node in a xml file] by [Error retrieving a node in a xml file] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in a description table (for mounting an structure)] by [Error in a description table (for mounting an structure)] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in structure alignment (should be even)] by [Error in structure alignment (should be even)] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error creating JS runtime environment] by [Error creating JS runtime environment] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error creating new JS context] by [Error creating new JS context] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error initializing JS standard classes] by [Error initializing JS standard classes] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Another instance of POS running ] by [Another instance of POS running ] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error loading bitmap] by [Error loading bitmap] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in hash table:ipos {0} not in apos] by [Error in hash table:ipos {0} not in apos] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in hash table:invalid counter {0}] by [Error in hash table:invalid counter {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [WinSocket not found] by [WinSocket not found] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error locating the host name] by [Error locating the host name] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error matching multihome] by [Error matching multihome] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Resource not found] by [Resource not found] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Message hook already in place] by [Message hook already in place] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Message hook does not exist] by [Message hook does not exist] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Timeout entry does not exist] by [Timeout entry does not exist] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Socket creation error] by [Socket creation error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Connection error] by [Connection error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Send error] by [Send error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Receive error] by [Receive error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in message header] by [Error in message header] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Message body format error] by [Message body format error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error binding port, it will run in local mode only] by [Error binding port, it will run in local mode only] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error binding socket, it will run in local mode only] by [Error binding socket, it will run in local mode only] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error joining group, it will run in local mode only] by [Error joining group, it will run in local mode only] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Thread pool is full] by [Thread pool is full] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Socket name error] by [Socket name error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Socket listening error] by [Socket listening error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Socket accept error] by [Socket accept error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Channel creation error] by [Channel creation error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Put in Channel with error] by [Put in Channel with error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Operating System error] by [Operating System error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Already Running] by [Already Running] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [error creating thread] by [error creating thread] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Service not configured] by [Service not configured] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Workflow {0} not found] by [Workflow {0} not found] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Workflow parameter {0} not found] by [Workflow parameter {0} not found] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Business component failed execution or does not exist] by [Business component failed execution or does not exist] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error defining function in JS context] by [Error defining function in JS context] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid pointer] by [Invalid pointer] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Operation with resource not registered] by [Operation with resource not registered] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Inconsistent sale state] by [Inconsistent sale state] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Internal sales error] by [Internal sales error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Kind of Product Invalid] by [Kind of Product Invalid] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Index Out of Bounds Error] by [Index Out of Bounds Error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Product inexistent] by [Product inexistent] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Wrong text arguments] by [Wrong text arguments] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Module used before initialization] by [Module used before initialization] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid serial baud rate] by [Invalid serial baud rate] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error programming serial] by [Error programming serial] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error getting serial status] by [Error getting serial status] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error accessing file] by [Error accessing file] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Print Error {0}] by [Print Error {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Send Receive Error] by [Send Receive Error] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [No partitioning alloc used without initialization in {0}] by [No partitioning alloc used without initialization in {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Could not load adaptor: {0}] by [Could not load adaptor: {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in auto value meal: {0}{1}] by [Error in auto value meal: {0}{1}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Empty sale.] by [Empty sale.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Sale incomplete.] by [Sale incomplete.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Bad configuration for adaptor: {0}] by [Bad configuration for adaptor: {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid path] by [Invalid path] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Log file recovered.] by [Log file recovered.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Log files invalidated.] by [Log files invalidated.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid log register.] by [Invalid log register.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Registering a function with a module level invalid.] by [Registering a function with a module level invalid.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Configuration parameter: {0} invalid.] by [Configuration parameter: {0} invalid.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error handling image: {0}.] by [Error handling image: {0}.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Getting from channel with error.] by [Getting from channel with error.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error in driver initialization: {0}.] by [Error in driver initialization: {0}.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error opening shared IO port.] by [Error opening shared IO port.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error opening serial port.] by [Error opening serial port.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error closing serial port.] by [Error closing serial port.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error setting serial port parameters.] by [Error setting serial port parameters.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error accessing serial port.] by [Error accessing serial port.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Serial port already opened.] by [Serial port already opened.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid driver command received.] by [Invalid driver command received.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Adaptor configured twice: {0}.] by [Adaptor configured twice: {0}.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid target state: {0}.] by [Invalid target state: {0}.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Missing required adaptor: {0}.] by [Missing required adaptor: {0}.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Buffer overflow.] by [Buffer overflow.] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error calling function in JS script {0}] by [Error calling function in JS script {0}] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Invalid tax identification] by [Invalid tax identification] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [One TC is missing!] by [One TC is missing!] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Generic error in DOM] by [Generic error in DOM] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Generic error in SCEW] by [Generic error in SCEW] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Error creating context] by [Error creating context] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [Could not find your license register] by [Could not find your license register] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
